Log,Attack Type
1861  342.336582    147.32.84.165       147.32.80.9         eth:ethertype:ip:udp:dns      79  Standard query 0x750e A d.mx.mail.yahoo.com,DNS Fast-Flux
 354  214.594052    195.88.191.59       147.32.84.165       eth:ethertype:ip:tcp      60  80 â†’ 1050 [ACK] Seq=1 Ack=184 Win=6432 Len=0,DNS Fast-Flux
"1334  295.093281    147.32.84.165       91.220.0.52         eth:ethertype:ip:tcp      60  1255 â†’ 80 [FIN, ACK] Seq=246 Ack=249401 Win=64440 Len=0",DNS Fast-Flux
 906  291.778065    195.88.191.59       147.32.84.165       eth:ethertype:ip:tcp    2798  80 â†’ 1256 [ACK] Seq=71345 Ack=185 Win=6432 Len=2744,DNS Fast-Flux
1290  294.830341    147.32.84.165       91.220.0.52         eth:ethertype:ip:tcp      60  [TCP Dup ACK 1287#2] 1255 â†’ 80 [ACK] Seq=246 Ack=227305 Win=62258 Len=0,DNS Fast-Flux
1274  294.824055    147.32.84.165       91.220.0.52         eth:ethertype:ip:tcp      60  [TCP Dup ACK 1273#1] 1255 â†’ 80 [ACK] Seq=246 Ack=217603 Win=64440 Len=0,DNS Fast-Flux
 939  293.441502    147.32.84.165       94.137.182.140      eth:ethertype:ip:tcp      62  [TCP Retransmission] 1257 â†’ 6667 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1732  341.666169    147.32.80.9         147.32.84.165       eth:ethertype:ip:udp:dns     333  Standard query response 0x7e68 A h.mx.mail.yahoo.com A 66.94.236.34 NS ns6.yahoo.com NS ns5.yahoo.com NS ns3.yahoo.com NS ns4.yahoo.com NS ns2.yahoo.com NS ns1.yahoo.com NS ns8.yahoo.com A 68.180.131.16 A 68.142.255.16 A 121.101.152.99 A 68.142.196.63 A 119.160.247.124 A 202.43.223.170 A 202.165.104.22,DNS Fast-Flux
  66  126.792432    147.32.84.165       147.32.84.171       eth:ethertype:ip:tcp      60  1040 â†’ 139 [ACK] Seq=1027 Ack=918 Win=63324 Len=0,DNS Fast-Flux
1324  294.952035    147.32.84.165       91.220.0.52         eth:ethertype:ip:tcp      74  1255 â†’ 80 [ACK] Seq=246 Ack=243937 Win=64042 Len=0 SLE=248095 SRE=249401 SLE=245323 SRE=246709,DNS Fast-Flux
  57  126.789191    147.32.84.165       147.32.84.171       eth:ethertype:ip:tcp:nbss:smb      97  Logoff AndX Request,DNS Fast-Flux
1293  294.831977    147.32.84.165       91.220.0.52         eth:ethertype:ip:tcp      60  [TCP Dup ACK 1292#1] 1255 â†’ 80 [ACK] Seq=246 Ack=230077 Win=59486 Len=0,DNS Fast-Flux
1119  294.568530    147.32.84.165       91.220.0.52         eth:ethertype:ip:tcp      60  1255 â†’ 80 [ACK] Seq=246 Ack=117811 Win=46422 Len=0,DNS Fast-Flux
 585  227.747181    147.32.84.165       117.204.73.246      eth:ethertype:ip:tcp      62  [TCP Retransmission] 1058 â†’ 3128 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
 375  215.080765    195.88.191.59       147.32.84.165       eth:ethertype:ip:tcp    1426  80 â†’ 1050 [ACK] Seq=13721 Ack=184 Win=6432 Len=1372,DNS Fast-Flux
 276  201.450356    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      60  1047 â†’ 80 [ACK] Seq=188 Ack=8233 Win=64484 Len=0,DNS Fast-Flux
" 747  271.330338    147.32.84.165       147.32.84.255       eth:ethertype:ip:udp:nbdgm:smb:browser     243  Host Announcement SARUMAN, Workstation, Server, NT Workstation, Potential Browser",DNS Fast-Flux
 129  166.711458    147.32.84.165       94.63.149.152       eth:ethertype:ip:tcp      60  1042 â†’ 80 [ACK] Seq=91 Ack=20441 Win=64240 Len=0,DNS Fast-Flux
1647  338.506409    147.32.84.165       65.54.188.126       eth:ethertype:ip:tcp      62  1316 â†’ 25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1853  342.318847    147.32.84.165       147.32.80.9         eth:ethertype:ip:udp:dns      79  Standard query 0x490c A c.mx.mail.yahoo.com,DNS Fast-Flux
" 675  258.123459    147.32.84.165       94.63.149.150       eth:ethertype:ip:tcp      63  [TCP Retransmission] 1041 â†’ 80 [PSH, ACK] Seq=70 Ack=528 Win=63713 Len=9 [TCP PDU reassembled in 674]",DNS Fast-Flux
"1665  339.191014    217.34.4.225        147.32.84.165       eth:ethertype:ip:tcp      62  6667 â†’ 1326 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM",DNS Fast-Flux
1982  357.133320    147.32.84.165       98.137.54.238       eth:ethertype:ip:tcp      62  [TCP Retransmission] 1350 â†’ 25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
1084  294.565102    91.220.0.52         147.32.84.165       eth:ethertype:ip:tcp    4212  80 â†’ 1255 [ACK] Seq=90091 Ack=246 Win=6432 Len=4158,DNS Fast-Flux
"1923  353.122319    94.63.149.150       147.32.84.165       eth:ethertype:ip:tcp      64  80 â†’ 1041 [PSH, ACK] Seq=528 Ack=79 Win=5840 Len=10",DNS Fast-Flux
" 100  166.601083    94.63.149.152       147.32.84.165       eth:ethertype:ip:tcp      62  80 â†’ 1042 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM",DNS Fast-Flux
1180  294.682062    147.32.84.165       91.220.0.52         eth:ethertype:ip:tcp      60  1255 â†’ 80 [ACK] Seq=246 Ack=160777 Win=53352 Len=0,DNS Fast-Flux
 965  293.955234    91.220.0.52         147.32.84.165       eth:ethertype:ip:tcp    1440  80 â†’ 1255 [ACK] Seq=12475 Ack=246 Win=6432 Len=1386,DNS Fast-Flux
 793  290.439345    195.113.232.98      147.32.84.165       eth:ethertype:ip:tcp      60  80 â†’ 1258 [ACK] Seq=1 Ack=116 Win=5840 Len=0,DNS Fast-Flux
  30  126.020807    147.32.84.165       147.32.84.255       eth:ethertype:ip:udp:nbns      92  Name query NB WORKGROUP<1b>,DNS Fast-Flux
 629  245.701108    94.63.150.63        147.32.84.165       eth:ethertype:ip:tcp      60  80 â†’ 1101 [ACK] Seq=249 Ack=469 Win=6432 Len=0,DNS Fast-Flux
 945  293.566591    147.32.84.165       91.220.0.52         eth:ethertype:ip:tcp      60  [TCP Dup ACK 944#1] 1255 â†’ 80 [ACK] Seq=1 Ack=1 Win=64440 Len=0,DNS Fast-Flux
 573  227.747022    147.32.84.165       85.221.145.247      eth:ethertype:ip:tcp      62  [TCP Retransmission] 1052 â†’ 3128 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
 908  291.778216    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      60  [TCP Dup ACK 907#1] 1256 â†’ 80 [ACK] Seq=185 Ack=74089 Win=28812 Len=0,DNS Fast-Flux
1081  294.456968    147.32.84.165       91.220.0.52         eth:ethertype:ip:tcp      60  [TCP Dup ACK 1080#1] 1255 â†’ 80 [ACK] Seq=246 Ack=90091 Win=60282 Len=0,DNS Fast-Flux
 451  215.570609    147.32.84.165       195.88.191.59       eth:ethertype:ip:tcp      60  [TCP Dup ACK 450#1] 1050 â†’ 80 [ACK] Seq=184 Ack=74089 Win=15752 Len=0,DNS Fast-Flux
1610  326.488919    147.32.84.165       65.55.37.72         eth:ethertype:ip:tcp      62  [TCP Retransmission] 1304 â†’ 25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM,DNS Fast-Flux
